time;X_value;Y_value;Z_value
0,8566;2,43737;2,52835;8,99529
0,8582;2,53314;2,66962;9,09346
0,8612;2,65046;2,78933;10,00328
0,8616;2,7175;2,84919;10,40552
0,8633;2,77975;2,95214;10,25947
0,8656;2,85398;3,0934;10,27623
0,8694;2,83003;3,08143;10,54439
0,8745;2,61694;2,99763;10,74551
0,8745;2,55709;3,0096;10,49889
0,8756;2,55709;3,0096;10,49889
0,8758;2,39667;2,95932;10,372
0,8774;2,2602;2,91623;10,49171
0,8798;2,24822;2,90186;10,35284
0,8821;2,344;2,89468;9,8261
0,8841;2,51638;2,90426;9,58189
0,8856;2,593;2,87552;9,34964
0,8883;2,83243;2,77975;8,99768
0,8957;3,74225;2,25062;8,23391
0,8957;3,74225;2,25062;8,23391
0,8957;3,74225;2,25062;8,23391
0,8966;3,85239;2,14288;8,16687
0,8981;4,04632;2,19316;7,02001
0,9004;3,85957;1,6305;-1,47727
0,9045;4,03675;2,15485;2,28414
0,9053;3,68479;0,70631;10,39355
0,9059;3,93379;1,55149;8,13335
0,9091;3,44057;1,24981;9,04557
0,9143;3,04073;1,93218;5,84682
0,9143;3,04073;1,93218;5,84682
0,9143;3,62733;1,73345;7,39352
0,9159;4,53955;1,78373;6,12934
0,9215;4,99925;1,82204;7,24268
0,9215;5,84203;1,506;8,78699
0,9215;5,94498;1,45332;7,9059
0,9237;5,49247;1,27375;7,1086
0,9285;5,13811;1,4198;6,79495
0,9319;4,92263;1,37671;6,692
0,9329;4,0966;1,23066;5,92822
0,9329;4,0966;1,27854;6,66566
0,9344;3,90267;1,17798;7,74787
0,9357;3,64169;1,05588;8,1956
0,9377;3,6393;1,11094;7,58746
0,9393;3,61296;1,2953;6,84763
0,9427;3,47888;1,34798;7,93942
0,9451;3,37832;1,35995;8,60023
0,9469;3,27776;1,49403;8,63375
0,9488;3,19636;1,58501;8,2818
0,9557;3,14608;1,66642;10,15412
0,9557;3,14608;1,66642;10,15412
0,9557;3,25382;1,66642;10,07032
0,9568;3,39508;1,74303;9,88357
0,9575;3,66563;1,755;10,09187
0,9597;3,77338;1,71191;10,41988
0,9615;4,03435;1,56586;10,64016
0,9645;4,27618;1,506;10,03919
0,9655;4,35519;1,47248;9,85244
0,9676;4,35758;1,24981;9,96018
0,9765;4,21632;0,94574;9,39513
0,9765;4,21632;0,94574;9,39513
0,9765;4,17801;0,92419;9,21317
0,9765;4,099;0,82363;8,8229
0,981;4,00323;1,01757;6,93861
0,9811;3,86915;0,61533;9,52443
0,9823;3,98647;0,76377;9,23232
0,9842;4,05111;0,90743;8,93304
0,987;4,29533;0,93616;10,01525
0,9899;4,46772;0,98165;9,38795
0,9936;4,8532;1,01038;8,56911
0,9936;4,8532;1,01038;8,56911
0,994;4,90347;1,03672;8,54517
0,9958;4,75982;0,88349;8,68643
0,9981;4,73109;0,86433;8,86361
0,9997;4,84122;0,5028;8,47813
1,0016;4,99925;0,25858;7,04635
1,0051;4,95615;0,14126;7,44859
1,0074;4,95136;0,09098;7,70717
1,0094;4,90826;0,01915;7,72154
1,0153;5,06629;-0,1245;7,63774
1,0153;5,06629;-0,1245;7,63774
1,0153;5,06629;-0,1245;7,63774
1,0177;5,27459;-0,16281;8,39193
1,0178;5,42303;-0,1245;8,75826
1,0199;5,37994;-0,1652;8,79417
1,0227;5,26501;-0,21309;9,68484
1,0238;5,1429;-0,22985;10,05595
1,026;5,07826;-0,32323;9,22035
1,0283;5,02079;-0,08619;7,89392
1,034;4,68799;0,22985;5,6457
1,034;4,68799;0,22985;5,6457
1,0361;4,63053;0,30647;5,58105
1,0369;4,63053;0,37351;5,69119
1,0378;4,74066;0,52674;4,8915
1,0392;4,88432;0,55308;4,83883
1,0468;5,02558;0,61772;4,93939
1,0469;5,11657;0,67758;4,69517
1,0469;5,11417;0,71589;4,66884
1,049;5,05431;0,90025;4,77897
1,0544;4,79813;1,28573;4,50363
1,055;4,79813;1,28573;4,50363
1,055;4,74306;1,39107;4,53955
1,0557;4,63053;1,55149;4,39349
1,0586;4,61377;1,61614;4,34082
1,063;4,59701;1,70712;4,45814
1,0648;4,57306;1,73345;4,49884
1,0648;4,56109;1,77655;4,65208
1,0661;4,58025;1,75021;4,7263
1,0686;4,58025;1,72627;4,69278
1,074;4,6425;1,64487;4,20195
1,0741;4,6425;1,61614;4,20195
1,0741;4,6425;1,61614;4,20195
1,0757;4,64968;1,50839;3,83563
1,0775;4,66884;1,45093;3,73746
1,0804;4,74066;1,30249;3,60578
1,0816;4,82446;1,15883;3,38311
1,0838;4,84601;1,07503;3,30889
1,0856;4,88193;0,89546;3,46212
1,0887;4,84122;0,74701;3,37593
1,0946;4,48927;0,13647;4,00562
1,0947;4,48927;0,13647;4,00562
1,0954;4,33364;0,13647;4,32885
1,0976;4,16604;-0,36872;4,64729
1,0976;3,8476;-0,82842;5,11417
1,1015;3,66563;-1,0032;5,20276
1,1015;3,33283;-1,25699;5,15008
1,1049;3,08383;-1,31446;4,72869
1,1052;3,04552;-1,28812;4,52279
1,1075;3,05031;-1,24263;4,21632
1,1141;3,18439;-1,35516;4,09421
1,1142;3,18439;-1,35516;4,09421
1,1148;3,19875;-1,36474;4,05111
1,1159;3,18917;-1,37192;3,99844
1,1182;3,14608;-1,31206;3,95774
1,1203;3,0934;-1,13728;4,01999
1,1218;3,06946;-0,99841;4,10618
1,1247;3,16044;-0,66321;4,37434
1,1252;3,35677;-0,36632;4,81967
1,128;3,47649;-0,22506;5,08065
1,1345;4,07027;0,27055;6,00963
1,1345;4,07027;0,27055;6,00963
1,1346;4,27618;0,34956;6,22033
1,1364;4,67362;0,43097;6,62017
1,1376;4,83644;0,42379;6,81889
1,1401;5,16684;0,32083;7,26902
1,1424;5,45655;0,09338;7,6928
1,1448;5,59542;-0,04789;7,88195
1,1464;5,84203;-0,36393;8,12377
1,1495;6,05273;-0,52195;8,19321
1,1539;6,44299;-1,13249;8,25546
1,1551;6,44299;-1,26657;8,25546
1,1564;6,44299;-1,26657;8,25546
1,1565;6,56989;-1,49403;8,20279
1,1586;6,67763;-1,7167;8,12617
1,1611;6,72552;-1,80528;8,08307
1,1617;6,80692;-1,99683;7,96575
1,1641;6,80692;-2,08781;7,84843
1,1667;6,80453;-2,24822;7,77182
1,1678;6,77101;-2,41343;7,63055
1,1734;6,68721;-2,64328;7,36718
1,1734;6,68721;-2,64328;7,36718
1,1744;6,63932;-2,68398;7,3193
1,1808;6,58665;-2,7199;7,26902
1,1809;6,45736;-2,77736;7,19958
1,1809;6,33046;-2,7606;7,11339
1,181;6,26582;-2,72708;7,07269
1,1833;6,15089;-2,61215;6,96495
1,1872;6,12216;-2,54751;6,92185
1,1881;6,09822;-2,38709;6,84763
1,1934;6,09582;-1,98485;6,51243
1,1934;6,09582;-1,98485;6,51243
1,1934;6,05033;-1,86514;6,37595
1,1981;5,90668;-1,58501;6,02639
1,1981;5,81569;-1,43896;5,82766
1,2001;5,59303;-1,19714;5,41824
1,2022;5,48289;-1,07503;5,21712
1,2047;5,25543;-0,8787;4,8077
1,2055;5,03516;-0,74462;4,39349
1,2083;4,93699;-0,68955;4,19956
1,2145;4,66644;-0,65364;3,65845
1,2145;4,61616;-0,67758;3,58902
1,2145;4,61616;-0,67758;3,58902
1,2156;4,56109;-0,78532;3,54832
1,2184;4,55391;-0,85236;3,56747
1,22;4,58504;-0,99362;3,58184
1,2214;4,7239;-1,11573;3,6369
1,2237;4,82207;-1,16362;3,66085
1,2255;5,06629;-1,19235;3,70873
1,2286;5,30332;-1,25699;3,79014
1,2346;5,82527;-1,47727;4,00802
1,2347;5,82527;-1,47727;4,00802
1,2347;5,99526;-1,5036;4,11815
1,237;6,16765;-1,53234;4,24265
1,238;6,5675;-1,55388;4,53955
1,2408;6,79016;-1,5467;4,72151
1,2411;7,21634;-1,52994;5,16445
1,2442;7,5707;-1,51797;5,67443
1,2455;7,69041;-1,52515;5,94498
1,248;7,8628;-1,5874;6,49567
1,2554;7,90829;-1,74543;7,51802
1,2563;7,90829;-1,74543;7,51802
1,2563;7,85083;-1,80049;7,72872
1,2563;7,78618;-1,87951;7,9466
1,2576;7,67365;-2,08781;8,3656
1,2604;7,50845;-2,29611;8,75826
1,2616;7,4031;-2,4254;8,93783
1,2655;7,19958;-2,69595;9,285
1,2662;6,97692;-2,9713;9,60583
1,2674;6,87636;-3,13171;9,75428
1,274;6,47891;-3,74943;10,22355
1,274;6,47891;-3,74943;10,22355
1,2764;6,3975;-3,87873;10,32411
1,2764;6,27779;-4,1397;10,46537
1,2785;6,22272;-4,24265;10,49889
1,2813;6,17962;-4,38631;10,53241
1,2828;6,21075;-4,51321;10,53241
1,2838;6,25145;-4,55391;10,52284
1,2856;6,33046;-4,62334;10,49171
1,2897;6,41666;-4,63771;10,4534
1,298;6,53876;-4,6425;10,38636
1,298;6,53876;-4,5994;10,38636
1,298;6,53876;-4,5994;10,38636
1,298;6,50524;-4,46293;10,36003
1,2987;6,42863;-4,27857;10,30017
1,2999;6,36159;-4,16604;10,25947
1,3017;6,18681;-3,93379;10,15651
1,3044;5,98569;-3,70155;10,01286
1,3057;5,88752;-3,59141;9,93624
1,3081;5,68401;-3,39748;9,72076
1,3149;5,45895;-3,20593;9,11022
1,3149;5,45895;-3,20593;9,11022
1,3149;5,42543;-3,1772;8,92825
1,3153;5,40148;-3,16044;8,73431
1,3175;5,36078;-3,16763;8,38954
1,3196;5,34402;-3,19396;8,05195
1,3215;5,3536;-3,20354;7,90111
1,3243;5,39191;-3,21791;7,62337
1,3254;5,40148;-3,22509;7,4869
1,3276;5,41346;-3,22748;7,1948
1,3358;5,46613;-3,14368;6,59383
1,3358;5,46613;-3,14368;6,59383
1,3358;5,48049;-3,11256;6,44778
1,3358;5,55711;-3,02397;6,16286
1,3377;5,59781;-2,9713;6,04315
1,341;5,70316;-2,84679;5,82766
1,3418;5,81809;-2,78454;5,72232
1,3442;5,88034;-2,68398;5,53796
1,3459;5,9809;-2,61215;5,34642
1,3478;6,0216;-2,58342;5,24825
