time;X_value;Y_value;Z_value
0,537;-0,82124;2,49244;8,74868
0,5383;-0,80926;2,44695;8,75586
0,5401;-0,79969;2,31048;8,81333
0,5407;-0,81884;2,18118;8,866
0,5437;-0,82363;2,10457;8,87797
0,5464;-0,84039;1,99683;8,87558
0,5478;-0,88109;1,93457;8,85163
0,5511;-0,91222;1,89866;8,83727
0,5561;-1,03912;1,77416;8,81333
0,5561;-1,03912;1,77416;8,81333
0,5561;-1,06785;1,74303;8,80854
0,5574;-1,10376;1,66402;8,77502
0,5591;-1,1277;1,63529;8,74389
0,5613;-1,15165;1,57304;8,66727
0,5644;-1,17559;1,53712;8,58826
0,5653;-1,17319;1,53234;8,55235
0,5665;-1,16362;1,49882;8,50446
0,5703;-1,16601;1,48445;8,4877
0,5754;-1,18038;1,40065;8,42066
0,5754;-1,18038;1,40065;8,42066
0,5767;-1,18038;1,39107;8,39912
0,5781;-1,17559;1,37192;8,35362
0,5793;-1,13967;1,36713;8,31292
0,5812;-1,1301;1,36713;8,2794
0,5833;-1,07742;1,39107;8,21476
0,5853;-1,06066;1,40305;8,18842
0,5878;-1,02714;1,43656;8,14293
0,5902;-0,98884;1,47727;8,12617
0,5955;-0,90982;1,55628;8,09744
0,5955;-0,95053;1,59219;8,09504
0,5955;-1,07503;1,62811;8,13335
0,5983;-1,17798;1,65205;8,24588
0,5994;-1,10855;1,69275;8,30095
0,6025;-0,90743;1,7167;8,26025
0,6048;-0,7925;1,76937;8,14532
0,6048;-0,55787;1,83401;8,02082
0,6071;-0,45252;1,86275;7,95857
0,6087;-0,26337;1,89387;7,80534
0,6138;0,04549;1,91542;7,53957
0,6156;0,04549;1,91542;7,53957
0,6161;0,07901;1,90824;7,4869
0,6174;0,16281;1,925;7,42704
0,6193;0,2107;1,94894;7,41986
0,6212;0,25619;1,99922;7,44141
0,624;0,28492;2,02077;7,44141
0,6246;0,3352;2,04471;7,37437
0,6277;0,34956;2,08302;7,2762
0,6288;0,36632;2,10696;7,22353
0,6343;0,30886;2,16203;6,96973
0,6343;0,30886;2,16203;6,96973
0,6354;0,2945;2,17161;6,90748
0,6372;0,27055;2,19555;6,77819
0,6394;0,27055;2,19316;6,71594
0,6409;0,26337;2,16682;6,56271
0,6439;0,2107;2,12851;6,45257
0,6454;0,19872;2,09738;6,3999
0,6479;0,1652;2,00161;6,29934
0,6535;0,15323;1,91542;6,17483
0,6546;0,15084;1,7574;5,97132
0,6546;0,16042;1,69754;5,89949
0,6561;0,16042;1,69754;5,89949
0,6598;0,19394;1,63529;5,77739
0,6598;0,21548;1,55628;5,6457
0,6622;0,28013;1,46051;5,59063
0,6632;0,45731;1,23545;5,46613
0,6692;0,54829;1,10615;5,37754
0,6692;0,57941;1,06785;5,33684
0,6693;0,64406;1,0032;5,30332
0,675;0,78293;0,84518;5,30571
0,6751;0,82363;0,79729;5,3129
0,6771;0,84757;0,76377;5,31768
0,6772;0,85954;0,73025;5,30332
0,6794;0,99123;0,63448;5,50204
0,6824;1,42699;0,46688;6,19638
0,6842;1,80528;0,36393;6,91945
0,6865;2,70553;0,11493;9,15571
0,6878;3,24185;-0,17957;11,34647
0,6894;3,23945;-0,26098;11,85645
0,6964;1,92979;0,13169;9,09106
0,6965;1,92979;0,13169;9,09106
0,6965;1,54191;0,3352;8,02322
0,6976;0,92898;0,73025;6,4382
0,6991;0,70392;0,90264;6,04076
0,7008;0,39984;1,18038;5,86597
0,7034;0,17239;1,33122;6,22751
0,7052;0,07662;1,36953;6,4813
0,7065;-0,08859;1,39826;7,13973
0,7094;-0,15802;1,39347;7,57788
0,7155;-0,42379;1,3384;9,31373
0,7155;-0,49083;1,33122;9,52921
0,7156;-0,49083;1,33122;9,52921
0,7174;-0,68476;1,06545;9,55555
0,7327;-0,77096;0,8356;9,04557
0,7327;-0,79969;0,90504;8,7415
0,7327;-0,92658;1,18995;8,25307
0,7327;-1,03912;1,21869;8,06392
0,7327;-1,0894;1,18517;7,97294
0,7327;-1,13249;1,15643;7,779
0,7356;-0,82602;0,87391;7,95618
0,7356;-0,70631;0,76138;7,9897
0,7356;-0,63209;0,66082;8,02561
0,7386;-0,5842;0,56265;8,04476
0,7395;-0,48364;0,3783;7,9035
0,7407;-0,35914;0,28731;7,4869
0,7434;-0,28971;0,09098;7,35282
0,7458;-0,17478;-0,09098;7,00804
0,7475;-0,10535;-0,17957;6,75904
0,75;0,03591;-0,35914;6,62735
0,7772;0,24182;-0,66561;7,25226
0,7785;0,24182;-0,66561;7,25226
0,7785;0,28492;-0,69913;7,58267
0,7785;0,37111;-0,73025;8,10462
0,7785;0,40942;-0,72307;8,29137
0,7785;0,40703;-0,69673;8,28658
0,7785;0,3759;-0,67279;8,07349
0,7785;0,07662;-0,5842;7,41507
0,7785;0,13408;-0,20112;6,85002
0,7785;0,27774;-0,07183;6,71355
0,7786;0,05746;-0,10295;7,79336
0,7786;0,05746;-0,10295;7,79336
0,7786;-0,02155;-0,07183;8,24828
0,7786;-0,19633;0,06225;9,20838
0,7795;-0,28731;0,1269;9,68724
0,7813;-0,44055;0,21788;10,57791
0,7852;-0,60096;0,19872;11,57632
0,7852;-0,68476;0,18675;12,02405
0,7877;-0,84757;0,11493;12,45502
0,7891;-0,96489;0,01197;12,13418
0,7947;-1,37431;-0,71828;14,58113
0,7947;-1,37431;-0,71828;14,58113
0,7947;-0,93616;-0,92419;15,96024
0,7995;0,15802;-1,00081;13,83412
0,7995;0,3352;-0,89067;10,40312
0,801;0,19633;-0,84278;9,41429
0,803;-0,32562;-0,838;8,55714
0,8053;-0,85236;-0,72547;8,58108
0,807;-1,1277;-0,71349;8,63854
0,8095;-1,66642;-0,87152;9,00726
0,8148;-2,40146;-1,48445;10,2451
0,8148;-2,40146;-1,48445;10,2451
0,8148;-2,51878;-1,67839;10,43904
0,8168;-2,59539;-1,86753;10,56594
0,8195;-2,70074;-2,20034;10,79339
0,8212;-2,72947;-2,41582;10,93465
0,8233;-2,73187;-2,4685;11,00169
0,8255;-2,65286;-2,50441;10,9969
0,8273;-2,50202;-2,50202;10,94184
0,8287;-2,45892;-2,47089;10,94184
0,8347;-2,22668;-2,26498;10,82452
0,8347;-2,22668;-2,26498;10,82452
0,8356;-2,12612;-2,21231;10,75269
0,839;-1,9226;-2,11654;10,57791
0,8402;-1,81247;-2,06626;10,48213
0,8417;-1,59219;-1,98964;10,2475
0,8447;-1,41741;-1,94894;9,94582
0,8459;-1,38629;-1,94894;9,79498
0,8481;-1,39347;-1,98725;9,59146
0,85;-1,43178;-2,0064;9,49091
0,8548;-1,62092;-2,14766;9,04318
0,8548;-1,62092;-2,14766;9,04318
0,8593;-1,65684;-2,19555;8,94022
0,8599;-1,73824;-2,27935;8,73192
0,8599;-1,7981;-2,36315;8,4494
0,8625;-1,84838;-2,41103;8,42066
0,8649;-1,89627;-2,49962;8,28658
0,8659;-1,91542;-2,52596;8,18363
0,8682;-1,93697;-2,60018;7,9442
0,8704;-1,85796;-2,68877;7,4845
0,8759;-1,64966;-2,74384;6,61538
0,8759;-1,60416;-2,75102;6,3975
0,8779;-1,55388;-2,74623;6,18202
0,8779;-1,49882;-2,74384;6,03597
0,8805;-1,3791;-2,75102;5,93062
0,8807;-1,24502;-2,7606;6,07906
0,8828;-1,16122;-2,8013;6,26342
0,8847;-1,10376;-2,842;6,89551
0,8869;-1,15643;-2,86595;7,33127
0,8888;-1,36234;-2,94256;8,3201
0,8942;-1,70951;-3,05749;10,10145
0,8942;-1,70951;-3,05749;10,10145
0,8949;-1,76219;-3,0527;10,43186
0,8972;-1,78134;-3,03833;10,94184
0,8985;-1,74543;-3,05031;11,10225
0,9005;-1,67839;-3,0527;11,29619
0,9027;-1,64726;-3,05509;11,37999
0,9046;-1,55388;-3,07664;11,459
0,9063;-1,47727;-3,12692;11,49731
